,(vertigo) Paroymsal  Positional Vertigo,Arthritis,Bronchial Asthma,Cervical spondylosis,Chicken pox,Common Cold,Dengue,Diabetes,Drug Reaction,GERD,Gastroenteritis,Hypertension,Hyperthyroidism,Hypoglycemia,Hypothyroidism,Impetigo,Jaundice,Malaria,Migraine,Peptic ulcer diseae,Psoriasis,Tuberculosis,Typhoid,Urinary tract infection,Varicose veins
Gastroenteritis,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.1111111111111111,1.0,0.0,0.07142857142857142,0.06666666666666667,0.0,0.0,0.09090909090909091,0.2,0.0,0.1111111111111111,0.0,0.05263157894736842,0.15384615384615385,0.0,0.0
Hypertension,0.2222222222222222,0.0,0.0,0.25,0.06666666666666667,0.1,0.05555555555555555,0.0,0.0,0.1,0.0,1.0,0.0,0.0625,0.058823529411764705,0.0,0.0,0.08333333333333333,0.07692307692307693,0.0,0.0,0.05,0.06666666666666667,0.0,0.0
Hyperthyroidism,0.0,0.06666666666666667,0.0625,0.0,0.047619047619047616,0.037037037037037035,0.041666666666666664,0.23529411764705882,0.0,0.0,0.07142857142857142,0.0,1.0,0.21052631578947367,0.2,0.0,0.11764705882352941,0.11764705882352941,0.1111111111111111,0.0,0.0,0.125,0.1,0.0,0.058823529411764705
Hypoglycemia,0.2,0.0,0.058823529411764705,0.0,0.09523809523809523,0.07407407407407407,0.18181818181818182,0.15789473684210525,0.0,0.058823529411764705,0.06666666666666667,0.0625,0.21052631578947367,1.0,0.08695652173913043,0.0,0.1111111111111111,0.25,0.23529411764705882,0.058823529411764705,0.0,0.12,0.21052631578947367,0.0,0.05555555555555555
Hypothyroidism,0.0,0.0,0.05555555555555555,0.058823529411764705,0.09090909090909091,0.034482758620689655,0.038461538461538464,0.09523809523809523,0.0,0.0,0.0,0.058823529411764705,0.2,0.08695652173913043,1.0,0.0,0.05,0.0,0.1,0.0,0.0,0.03571428571428571,0.043478260869565216,0.0,0.05263157894736842
Impetigo,0.0,0.0,0.1,0.0,0.14285714285714285,0.047619047619047616,0.11764705882352941,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.1,0.05,0.06666666666666667,0.0,0.0
Jaundice,0.07692307692307693,0.0,0.16666666666666666,0.0,0.1875,0.08695652173913043,0.15789473684210525,0.125,0.08333333333333333,0.07692307692307693,0.09090909090909091,0.0,0.11764705882352941,0.1111111111111111,0.05,0.08333333333333333,1.0,0.14285714285714285,0.0,0.16666666666666666,0.0,0.2,0.26666666666666666,0.0,0.07142857142857142
Malaria,0.2727272727272727,0.0,0.07692307692307693,0.0,0.11764705882352941,0.19047619047619047,0.375,0.0,0.0,0.07692307692307693,0.2,0.08333333333333333,0.11764705882352941,0.25,0.0,0.08333333333333333,0.14285714285714285,1.0,0.0625,0.07692307692307693,0.0,0.2,0.46153846153846156,0.0,0.0
Migraine,0.07142857142857142,0.07692307692307693,0.0,0.0,0.05263157894736842,0.04,0.045454545454545456,0.11764705882352941,0.0,0.07142857142857142,0.0,0.07692307692307693,0.1111111111111111,0.23529411764705882,0.1,0.0,0.0,0.0625,1.0,0.07142857142857142,0.0,0.0,0.05263157894736842,0.0,0.0
Peptic ulcer diseae,0.09090909090909091,0.0,0.0,0.0,0.0625,0.0,0.1111111111111111,0.0,0.0,0.09090909090909091,0.1111111111111111,0.0,0.0,0.058823529411764705,0.0,0.0,0.16666666666666666,0.07692307692307693,0.07142857142857142,1.0,0.0,0.1,0.13333333333333333,0.0,0.0
Psoriasis,0.0,0.0,0.0,0.0,0.0625,0.0,0.1111111111111111,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Tuberculosis,0.047619047619047616,0.0,0.2222222222222222,0.0,0.2857142857142857,0.32,0.25,0.08333333333333333,0.0,0.15789473684210525,0.05263157894736842,0.05,0.125,0.12,0.03571428571428571,0.05,0.2,0.2,0.0,0.1,0.0,1.0,0.17391304347826086,0.0,0.045454545454545456
Typhoid,0.21428571428571427,0.0,0.13333333333333333,0.0,0.15789473684210525,0.16666666666666666,0.3157894736842105,0.05,0.0,0.0625,0.15384615384615385,0.06666666666666667,0.1,0.21052631578947367,0.043478260869565216,0.06666666666666667,0.26666666666666666,0.46153846153846156,0.05263157894736842,0.13333333333333333,0.0,0.17391304347826086,1.0,0.0,0.058823529411764705
Urinary tract infection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Varicose veins,0.0,0.0,0.08333333333333333,0.0,0.058823529411764705,0.043478260869565216,0.05,0.13333333333333333,0.0,0.0,0.0,0.0,0.058823529411764705,0.05555555555555555,0.05263157894736842,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.045454545454545456,0.058823529411764705,0.0,1.0
